System,HER,OSR,HitRate@10,NDCG@10,UtilityLoss_vs_Baseline,EvalSessions,OSR_numerator,OSR_denominator
Injected_Baseline,0.044213064727926764,0.0,1.0,0.5460639508934478,0.0,38761,0,0
Risk_Only_V1,0.04113712422474986,0.0,1.0,0.5460639508934478,0.0,38761,0,667448
Intent_Only_V1,0.04385220019962109,0.015500833023696228,1.0,0.5460639508934478,0.0,38761,10346,667448
Full_Policy_V1,0.04113712422474986,0.015500833023696228,1.0,0.5460639508934478,0.0,38761,10346,667448
