config_name,tau_down,tau_replace,tau_block,HER,HER_reduction_vs_baseline,OSR,HitRate@10,NDCG@10,UtilityLoss_vs_Baseline,EvalSessions,OSR_numerator,OSR_denominator,Action_keep,Action_down_rank,Action_replace,Action_block
cfg_5_aggressive,0.2,0.4,0.6,0.0,0.044213064727926764,0.26929438697846125,1.0,0.5321554589781287,0.025470445160429768,38499,179740,667448,669647,0,56,29787
cfg_4_safer,0.25,0.45,0.65,1.4930810623570376e-06,0.04421157164686441,0.26929438697846125,1.0,0.5321554589781287,0.025470445160429768,38499,179740,667448,669647,1,108,29729
cfg_3_balanced,0.3,0.5,0.7,1.0450537605513107e-05,0.04420261419032125,0.26929288873440327,1.0,0.5321554589781287,0.025470445160429768,38499,179739,667448,669647,7,168,29661
cfg_2_current,0.35,0.55,0.75,4.776689754000478e-05,0.04416529783038676,0.26929288873440327,1.0,0.5321554589781287,0.025470445160429768,38499,179739,667448,669647,32,241,29556
cfg_1_lenient,0.45,0.65,0.85,0.00016257009903352821,0.04405049462889324,0.26929139049034534,1.0,0.5321554589781287,0.025470445160429768,38499,179738,667448,669648,108,724,28951
