label,precision,recall,f1_score,support
benign,0.9978413383702105,0.9962284482758621,0.9970342410353195,12992.0
sensitive_educational,0.5657894736842105,0.7543859649122807,0.6466165413533834,57.0
harmful_promotional,0.9965124816446402,0.9968784428938671,0.9966954286763356,5446.0
overall_accuracy,0.9956745066234117,0.9956745066234117,0.9956745066234117,18495.0
