predicted_intent_label,block,down_rank,keep,replace,total_actions,keep_share,down_rank_share,replace_share,block_share,n_sessions
normal_interest,25099,29,366323,205,391656,0.9353182384541536,7.404456972445207e-05,0.0005234185101211267,0.06408429846600078,42060
sensitive_help_seeking,3348,2,229809,28,233187,0.9855137722085708,8.57680745496104e-06,0.00012007530436945456,0.014357575679604781,23515
clearly_harmful_intent,1109,1,73515,8,74633,0.9850200313534228,1.3398898610534214e-05,0.00010719118888427371,0.014859378559082443,7577
