selection_rule,config_name,ALPHA,BETA,GAMMA,HER,HER_reduction_vs_baseline,OSR,HitRate@10,NDCG@10,UtilityLoss_vs_Baseline,EvalSessions,OSR_numerator,OSR_denominator,Action_keep,Action_down_rank,Action_replace,Action_block,balanced_objective
best_ndcg,a0.30_b0.80_g0.05,0.3,0.8,0.05,4.776689754000478e-05,0.0441652978303867,0.2799888530642087,1.0,0.5400763922358847,0.0109649403659893,39107,186878,667448,669647,32,241,29556,
best_lowest_osr,a0.10_b0.40_g0.05,0.1,0.4,0.05,4.776689754000478e-05,0.0441652978303867,0.2365622490441203,1.0,0.5355962978519342,0.0191692804924897,39039,157893,667448,669647,32,241,29556,
best_balanced_objective,a0.10_b0.40_g0.05,0.1,0.4,0.05,4.776689754000478e-05,0.0441652978303867,0.2365622490441203,1.0,0.5355962978519342,0.0191692804924897,39039,157893,667448,669647,32,241,29556,0.13749817191208985
