intent_label,block,down_rank,keep,replace,total_actions,keep_share,down_rank_share,replace_share,block_share,n_sessions
normal_interest,26336,29,564609,219,591193,0.9550332970789573,4.905335482659639e-05,0.00037043740369050376,0.04454721216252561,62003
sensitive_help_seeking,3090,3,100944,21,104058,0.9700743815948798,2.8830075534797902e-05,0.0002018105287435853,0.029694977800841838,10714
clearly_harmful_intent,130,0,4094,1,4225,0.9689940828402367,0.0,0.00023668639053254438,0.03076923076923077,435
